爆栈,3.0138030193278773,pos,2,n
哇,45.83567273737746,neg,1,y
想不到,44.00928750361908,neg,3,l
眼泪,43.793399109738736,neg,2,n
泪水,42.57152750477263,neg,2,n
放弃,39.315429945780515,neg,2,v
菜,39.23642545543012,neg,1,n
菜鸡,37.18435366037964,neg,2,n
期末,36.75492726400061,neg,2,t
忘记,35.71623752919044,neg,2,v
难怪,35.40419683048271,neg,2,d
太难受,35.324896448683916,neg,3,l
呜,33.66122683595791,neg,1,o
告辞,33.394693845103134,neg,2,v
呀,33.23239212192954,neg,1,y
示例,33.04594355622792,neg,2,n
偷偷,31.94087316427065,neg,2,d
完蛋,31.4404807504827,neg,2,v
对不起,30.902689457269283,neg,3,l
不想,30.806555376435334,neg,2,v
沦落,30.719929682406153,neg,2,v
废物,28.8888054541463,neg,2,n
想骂,28.769352263928415,neg,2,v
教训,28.553555576086282,neg,2,vn
没错,28.49183392086274,neg,2,v
大哭,28.479285578503614,neg,2,v
智障,28.4452431214457,neg,2,n
呐,28.26540176189582,neg,1,y
找不出,27.028367160971783,neg,3,v
打击,26.5039278106753,neg,2,v
焦躁,26.128717110904468,neg,2,a
没了,26.060588508138164,neg,2,v
挺住,25.410102542835318,neg,2,v
死,25.281631571349408,neg,1,v
难受,24.848954676404496,neg,2,v
求救,24.59760032278478,neg,2,v
为什么,24.44308213685547,neg,3,r
怎么办,24.195172000555168,neg,3,l
呜呜,24.097167676614212,neg,2,l
没过,24.059356394404176,neg,2,v
断断续续,23.821134084739647,neg,4,i
呕吼,23.70587226437913,neg,2,v
吐血,23.65280039871793,neg,2,v
死活,23.568911355074682,neg,2,v
干什么,23.398438246823602,neg,3,l
傻子,23.372080320004955,neg,2,n
菜菜,23.29114249602438,neg,2,n
残,23.168252124719547,neg,1,n
不爽,23.080541886565424,neg,2,a
本菜,23.04153875949786,neg,2,n
怎么回事,23.031568993993048,neg,4,l
大佬,22.867092538085657,neg,2,nz
含泪,22.67729817174696,neg,2,n
暴,22.50070157340987,neg,1,n
难过,22.327928367141336,neg,2,v
狗,22.222021917107813,neg,1,n
简直,22.107549952930995,neg,2,d
外卖,21.638540452904675,neg,2,v
不配,21.633913690120465,neg,2,v
奈何,21.468698086266336,neg,2,v
服,21.367383416747344,neg,1,v
勉强,21.347435152239512,neg,2,v
泪,21.213508181581155,neg,1,n
没救,21.151560033760333,neg,2,v
纠结,21.138391198575505,neg,2,v
有误,21.129712282303437,neg,2,vn
抱歉,21.078453995813334,neg,2,v
再见,21.07437486658055,neg,2,v
嘤,20.810925831356442,neg,1,o
憋,20.672110080012345,neg,1,zg
不得已,20.55903087604986,neg,3,d
靠,20.556185135528068,neg,1,v
辛辛苦苦,20.48918688743575,neg,4,
边界问题,20.209841201457138,neg,4,n
好无语,20.198077624180435,neg,3,i
真是,20.195782961331936,neg,2,d
无能为力,20.07929406603624,neg,4,l
绝望,20.044782136998847,neg,2,v
折腾,19.971268905093694,neg,2,v
过不去,19.832760240803186,neg,3,t
引以为戒,19.82622650496149,neg,4,i
揍,19.603834083625046,neg,1,v
不屑,19.333286945784494,neg,2,v
太菜,19.175299926482914,neg,2,n
大菜,19.027751964815607,neg,2,n
那里,19.016479196827248,neg,2,r
限界,18.9682627536475,neg,2,n
没用,18.920110529924564,neg,2,v
流泪,18.857970608023276,neg,2,n
一直,18.770501306626933,neg,2,d
厉害,18.721850337996663,neg,2,a
爆掉,18.692613043773648,neg,2,v
所有人,18.61295447330117,neg,3,n
不通,18.485262111943918,neg,2,a
看不懂,18.35815197140792,neg,3,v
试了试,18.315396188424536,neg,3,v
贼,17.924587889563917,neg,1,n
体无完肤,17.906195018309674,neg,4,i
嚣张气焰,17.906195018309674,neg,4,l
可恶,17.815293462768025,neg,2,v
想得到,17.781423297386304,neg,3,v
暴力破解,17.513355107139432,neg,4,i
搞了半天,17.434563353180263,neg,4,l
尼玛,17.32353582949709,neg,2,nrt
不行,17.214704712070713,neg,2,v
睡不着,17.172403470427717,neg,3,v
骂,17.15128977115747,neg,1,v
配不上,17.13176148593037,neg,3,v
艰难,17.04403154208365,neg,2,a
裂开,17.001102025614962,neg,2,v
尽力,16.97905309056911,neg,2,d
崩,16.89244226089137,neg,1,v
喂,16.878092927121095,neg,1,v
难看,16.81141298071404,neg,2,v
艹,16.790892122307554,neg,1,zg
不学无术,16.736382954034568,neg,4,l
如法炮制,16.722827753955286,neg,4,l
跟爆,16.722827753955286,neg,2,p
好惨,16.677966267809246,neg,2,a
居然,16.613029678091152,neg,2,d
坎坷,16.611498295943996,neg,2,a
挫折,16.584266923422312,neg,2,n
咋,16.58155221444975,neg,1,r
吐,16.560458926685783,neg,1,v
只能,16.528225151382934,neg,2,v
教教,16.504298410074128,neg,2,n
痛,16.49276500050039,neg,1,a
老半天,16.41356838426647,neg,3,t
通不过,16.407129921003932,neg,3,l
日常,16.387597150527334,neg,2,d
否定,16.38424231511432,neg,2,v
求求,16.38061313599878,neg,2,v
试出来,16.37415162635812,neg,3,vn
乱的,16.333286945784494,neg,2,z
咧,16.295996470216064,neg,1,v
有毒,16.283797336590773,neg,2,v
变态,16.200576905137382,neg,2,n
谁能给,16.200021022008457,neg,3,v
牛皮,16.141127332954888,neg,2,n
假装,16.122364104736903,neg,2,n
爷,16.07622398525646,neg,1,ng
心累,16.067177779720183,neg,2,v
是不是,16.004282607581295,neg,3,l
这么晚,15.915472831897686,neg,3,r
犹如,15.915472831897686,neg,2,v
准备就绪,15.876124164421858,neg,4,n
慌慌张张,15.876124164421858,neg,4,z
